iter	Passed	Remaining
0	1	147
1	2	134
2	3	128
3	4	118
4	6	122
5	7	122
6	9	121
7	10	119
8	11	116
9	12	115
10	13	112
11	15	111
12	16	110
13	17	108
14	18	107
15	20	106
16	21	105
17	22	104
18	24	102
19	25	101
20	26	100
21	27	98
22	29	98
23	30	96
24	31	95
25	33	94
26	34	93
27	36	92
28	37	91
29	38	90
30	39	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	81
36	47	80
37	48	79
38	50	78
39	51	77
40	53	76
41	53	74
42	54	72
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	60
53	69	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	47
63	81	46
64	83	44
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	27
79	103	25
80	104	24
81	105	23
82	107	21
83	108	20
84	109	19
85	111	18
86	112	16
87	113	15
88	115	14
89	116	12
90	117	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	126	3
97	127	2
98	128	1
99	130	0
